2019-05-26 15:27:24 INFO  LogicManager:33 - User すばらしい login
2019-05-26 15:27:26 INFO  LogicManager:77 - Enemies created. Number of enemies=3
2019-05-26 15:27:26 INFO  LogicManager:93 - setNumbers. Result created. FirstNumber=66, secondNumber=67, roundNumber=0, roundResult=ODD, activeUser=すばらしい
2019-05-26 15:27:26 INFO  LogicManager:99 - setNumbers. Enemies make a decision. RoundNumber=0, roundResult=ODD, enemiesSize=3, activeUser=すばらしい
2019-05-26 15:27:29 INFO  LogicManager:106 - getResultStringFromUserDecision. PlayerResult=WIN, activeUser=すばらしい
2019-05-26 15:27:29 INFO  LogicManager:132 - setPoints. Йоко choose ODD, result=LOSE, set -14 points. Round=0, activeUser=すばらしい
2019-05-26 15:27:29 INFO  LogicManager:132 - setPoints. Рей choose ODD, result=WIN, set 14 points. Round=0, activeUser=すばらしい
2019-05-26 15:27:29 INFO  LogicManager:132 - setPoints. Маюши choose ODD, result=WIN, set 14 points. Round=0, activeUser=すばらしい
2019-05-26 15:27:29 INFO  LogicManager:138 - setPoints. User すばらしい choose ODD, result=WIN, set 14 points, round=0
2019-05-26 15:27:31 INFO  LogicManager:93 - setNumbers. Result created. FirstNumber=90, secondNumber=20, roundNumber=1, roundResult=EVEN, activeUser=すばらしい
2019-05-26 15:27:31 INFO  LogicManager:99 - setNumbers. Enemies make a decision. RoundNumber=1, roundResult=EVEN, enemiesSize=3, activeUser=すばらしい
2019-05-26 15:27:40 INFO  LogicManager:106 - getResultStringFromUserDecision. PlayerResult=WIN, activeUser=すばらしい
2019-05-26 15:27:40 INFO  LogicManager:132 - setPoints. Йоко choose ODD, result=LOSE, set -14 points. Round=1, activeUser=すばらしい
2019-05-26 15:27:40 INFO  LogicManager:132 - setPoints. Рей choose ODD, result=LOSE, set -14 points. Round=1, activeUser=すばらしい
2019-05-26 15:27:40 INFO  LogicManager:132 - setPoints. Маюши choose ODD, result=WIN, set 14 points. Round=1, activeUser=すばらしい
2019-05-26 15:27:40 INFO  LogicManager:138 - setPoints. User すばらしい choose EVEN, result=WIN, set 14 points, round=1
2019-05-26 15:27:42 INFO  LogicManager:93 - setNumbers. Result created. FirstNumber=5, secondNumber=95, roundNumber=2, roundResult=EVEN, activeUser=すばらしい
2019-05-26 15:27:42 INFO  LogicManager:99 - setNumbers. Enemies make a decision. RoundNumber=2, roundResult=EVEN, enemiesSize=3, activeUser=すばらしい
2019-05-26 15:27:45 INFO  LogicManager:106 - getResultStringFromUserDecision. PlayerResult=WIN, activeUser=すばらしい
2019-05-26 15:27:45 INFO  LogicManager:132 - setPoints. Йоко choose ODD, result=LOSE, set -14 points. Round=2, activeUser=すばらしい
2019-05-26 15:27:45 INFO  LogicManager:132 - setPoints. Рей choose ODD, result=LOSE, set -14 points. Round=2, activeUser=すばらしい
2019-05-26 15:27:45 INFO  LogicManager:132 - setPoints. Маюши choose EVEN, result=LOSE, set -14 points. Round=2, activeUser=すばらしい
2019-05-26 15:27:45 INFO  LogicManager:138 - setPoints. User すばらしい choose EVEN, result=WIN, set 18 points, round=2
2019-05-26 15:27:47 INFO  LogicManager:93 - setNumbers. Result created. FirstNumber=33, secondNumber=93, roundNumber=3, roundResult=EVEN, activeUser=すばらしい
2019-05-26 15:27:47 INFO  LogicManager:99 - setNumbers. Enemies make a decision. RoundNumber=3, roundResult=EVEN, enemiesSize=3, activeUser=すばらしい
2019-05-26 15:27:48 INFO  LogicManager:106 - getResultStringFromUserDecision. PlayerResult=WIN, activeUser=すばらしい
2019-05-26 15:27:48 INFO  LogicManager:132 - setPoints. Йоко choose ODD, result=LOSE, set -14 points. Round=3, activeUser=すばらしい
2019-05-26 15:27:48 INFO  LogicManager:132 - setPoints. Рей choose ODD, result=LOSE, set -14 points. Round=3, activeUser=すばらしい
2019-05-26 15:27:48 INFO  LogicManager:132 - setPoints. Маюши choose ODD, result=WIN, set 14 points. Round=3, activeUser=すばらしい
2019-05-26 15:27:48 INFO  LogicManager:138 - setPoints. User すばらしい choose EVEN, result=WIN, set 14 points, round=3
